,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
266,12,Nikita Mikhalkov,,"['Nikita Mikhalkov', 'Leonid Vereschtchaguine']","['Sergei Makovetsky', 'Nikita Mikhalkov', 'Sergei Garmash', 'Valentin Gaft', 'Alexei Petrenko', 'Yuri Stoyanov']",Vladislav Opelyants,"['Enzo Meniconi', 'Andrei Zaytsev']",Eduard Artemyev,TriTe,"['7 September 2007 ( Venice )', '20 September 2007']",159 minutes,Russia,,159,2007-09-07,7.6,72,77%,Twelve jurors must decide the fate of a Chechen adolescent charged with murdering his stepfather.,"Crime, Drama, Thriller",Nominated for 1 Oscar. 9 wins & 9 nominations total,"['Nikita Mikhalkov', 'Alexander Novototsky-Vlasov', 'Vladimir Moiseenko']",,"['12 Angry Men', 'by', 'Reginald Rose', 'Twelve Angry Men', 'by Reginald Rose', 'Twelve Angry Men', 'by Reginald Rose']",,$2.5 million,$7.5 million,,,"Russian , Chechen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Departures,Yōjirō Takita,Kundō Koyama,"['Yasuhiro Mase', 'Toshiaki Nakazawa']","['Masahiro Motoki', 'Ryōko Hirosue', 'Tsutomu Yamazaki']",Takeshi Hamada,Akimasa Kawashima,Joe Hisaishi,Shochiku,"['23 August 2008 (MWFF)', '13 September 2008 (Japan)']",130 minutes,Japan,Japanese,130,2008-08-23,9.0,N/A,,"Aimed at the adventure seeker, Departures is an action-packed and personal journey about two travelers. Scott Wilson and Justin Lukach leave their lives behind in search of unique experiences through some of the most beautiful and re",Documentary,2 wins & 9 nominations,,,,,,$70 million,"['Tokyo Broadcasting System', 'Amuse Soft Entertainment', 'Asahi Shimbun', 'Dentsu', 'Mainichi Broadcasting System', 'Sedic', 'Shochiku', 'ShoPro', 'TBS Radio & Communications']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,The Baader Meinhof Complex,Uli Edel,"['Bernd Eichinger', 'Uli Edel']",Bernd Eichinger,"['Moritz Bleibtreu', 'Martina Gedeck', 'Johanna Wokalek']",Rainer Klausmann,Alexander Berner,"['Peter Hinderthür', 'Florian Tessloff']","['Constantin Film Verleih', 'Metropolitan Filmexport', 'Bontonfilm']","['25 September 2008 (Germany)', '12 November 2008 (France)', '3 April 2009 (Czech Republic)']","['149 minutes', '164 minutes']",,,149,2008-09-25,,,,,,,,,"['Der Baader Meinhof Komplex', 'by', 'Stefan Aust']",Constantin Film Produktion,€13.5 million ($19.7 million),"$16,498,827",,"['Germany', 'France', 'Czech Republic']",['German'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,The Class,Laurent Cantet,,"['Caroline Benjo', 'Carole Scotta']",François Bégaudeau,Pierre Milon,Robin Campillo,,Haut et Court,"['24 May 2008 ( Cannes )', '24 September 2008 (France)']",128 minutes,France,French,128,2008-05-24,7.7,N/A,,A 27-year-old is reunited with his childhood friends.,"Comedy, Romance",Nominated for 1 Primetime Emmy. 1 win & 3 nominations total,"['Laurent Cantet', 'François Bégaudeau', 'Robin Campillo']",,"['Entre les murs', 'by', 'François Bégaudeau']",,€2.5 million,$28.7 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Revanche,Götz Spielmann,Götz Spielmann,"['Heinz Stussak', 'Mathias Forberg', 'Götz Spielmann', 'Sandra Bohle']","['Johannes Krisch', 'Ursula Strauss', 'Irina Potapenko', 'Andreas Lust', 'Hannes Thanheiser', 'Hanno Pöschl']",Martin Gschlacht,Karina Ressler,,Filmladen,"['10 February 2008 (Berlin International Film Festival)', '16 May 2008']",122 minutes,Austria,,122,2008-02-10,7.5,84,96%,Ex-con Alex plans to flee to the South with his girl after a robbery. But something terrible happens and revenge seems inevitable.,"Crime, Drama, Romance",Nominated for 1 Oscar. 15 wins & 8 nominations total,,,,,,"$192,451 (US)","['Prisma Films', 'Spielmann Film']",,"['German', 'Russian']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Waltz with Bashir,Ari Folman,Ari Folman,"['Ari Folman', 'Serge Lalou', 'Gerhard Meixner', 'Yael Nahlieli', 'Roman Paul']",Ari Folman,,Nili Feller,Max Richter,Sony Pictures Classics,"['13 May 2008 ( Cannes )', '5 June 2008 (Israel)']",90 minutes,,Hebrew,90,2008-05-13,,,,,,,,,,,$2 million,"$11,125,849","['Bridgit Folman Film Gang', ""Les Films d'Ici"", 'Razor Film Produktion']","['Germany', 'France', 'Israel']",,,,,,,,,,,,,,,,,,ואלס עם באשיר,,,,,,,,,,,
272,The Secret in Their Eyes,Juan José Campanella,"['Juan José Campanella', 'Eduardo Sacheri']","['Juan José Campanella', 'Mariela Besuievsky']","['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago', 'Javier Godino', 'Guillermo Francella']",Félix Monti,Juan José Campanella,"['Federico Jusid', 'Sebastian Kauderer']","['Distribution Company', 'Alta Classics']",['13 August 2009'],129 minutes,Argentina,Spanish,129,2009-08-13,,,,,,,,,"['La pregunta de sus ojos', 'by Eduardo Sacheri']",,$2 million,$34 million,"['Haddock Films', '100 Bares', 'Tornasol Films']",,,,,,,,,,,El secreto de sus ojos,,,,,,,,,,,,,,,,,,,
273,Ajami,"['Scandar Copti', 'Yaron Shani']","['Scandar Copti', 'Yaron Shani']","['Moshe Danon', 'Thanassis Karathanos', 'Talia Kleinhendler']","['Fouad Habash', 'Ibrahim Frege', 'Scandar Copti', 'Shahir Kabaha', 'Eran Naim']",Boaz Yehonatan Yaacov,"['Scandar Copti', 'Yaron Shani']",Rabih Boukhari,,['22 May 2009 ( Cannes )'],120 minutes,Israel,,120,2009-05-22,7.3,82,97%,Ajami is the religiously mixed community of Muslims and Christians in Tel Aviv. These are five stories about the everyday life in Ajami.,"Crime, Drama",Nominated for 1 Oscar. 15 wins & 10 nominations total,,,,,$1 million,$2.2 million,,,"['Arabic', 'Hebrew']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,The Milk of Sorrow,Claudia Llosa,Claudia Llosa,"['Antonio Chavarrías', 'Claudia Llosa', 'José María Morales']","['Magaly Solier', 'Susi Sánchez', 'Efrain Solís']",Natasha Braier,Frank Gutiérrez,Selma Mutal,,"['February 12, 2009 ( Berlinale )', 'February 13, 2009 (Spain)', 'March 12, 2009 (Peru)']",95 minutes,,,95,2009-02-12,,,,,,,,,,,,,,"['Peru', 'Spain']","['Spanish', 'Quechua']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,A Prophet,Jacques Audiard,,"['Lauranne Bourrachot', 'Martine Cassinelli', 'Pascal Caucheteux', 'Marco Cherqui']","['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif']",Stéphane Fontaine,Juliette Welfling,Alexandre Desplat,UGC Distribution,"['16 May 2009 ( Cannes )', '26 August 2009 (France)']",155 minutes,,,155,2009-05-16,7.8,N/A,,"Tells the story of the seventh century prophet who changed world history in 23 years, and continues to shapes the lives of more than 1.2 billion people. The film takes viewers not only to ancient Middle Eastern sites where Muhammad's",Documentary,N/A,"['Jacques Audiard', 'Thomas Bidegain', 'Abdel Raouf Dafri', 'Nicolas Peufaillit']",Abdel Raouf Dafri,,,$13 million,$17.9 million,,"['France', 'Italy']","['French', 'Arabic', 'Corsican']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
