,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
0,Shoeshine,Vittorio De Sica,"['Sergio Amidei', 'Adolfo Franci', 'Cesare Giulio Viola', 'Cesare Zavattini']","['Giuseppe Amato', 'Paolo William Tamburella']","['Franco Interlenghi', 'Rinaldo Smordoni', 'Annielo Mele', 'Bruno Ortenzi', 'Emilio Cigoli']",Anchise Brizzi,Niccolò Lazzari,Alessandro Cicognini,ENIC,['27 April 1946'],93 minutes,Italy,Italian/English,93,1946-04-27,6.8,N/A,,"During a ride on the Staten Island Ferry, a young Wall Street investment banker and an old shoeshine man begin chatting and discussing their life philosophies.","Short, Comedy",Nominated for 1 Oscar. 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Monsieur Vincent,Maurice Cloche,"['Jean Anouilh', 'Jean Bernard-Luc']",Viscount George de la Grandiere,"['Pierre Fresnay', 'Aimé Clariond']",Claude Renoir,Jean Feyte,Jean-Jacques Grünenwald,"[""L'Alliance Générale de Distribution Cinématographique"", '(1947 French release)', 'Lopert Pictures', '(1948 US release)']",['5 November 1947'],111 min.,France,French,111,1947-11-05,7.0,N/A,,"St. Vincent de Paul struggles to bring about peace and harmony among the peasant and the nobles in the midst of the Black Death in Europe, carrying on his charitable work in the face of all obstacles.","Biography, Drama, History",Won 1 Oscar. 2 wins & 4 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bicycle Thieves,Vittorio De Sica,,"['Giuseppe Amato', 'Vittorio De Sica']","['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']",Carlo Montuori,Eraldo Da Roma,Alessandro Cicognini,Ente Nazionale Industrie Cinematografiche,['24 November 1948 (Italy)'],89 minutes,Italy,Italian,89,1948-11-24,6.0,N/A,,"Losing his dad and mom at an early age, Kunchako (Asif Ali) lives with his relatives who dislikes him. Fed up with the life there, Kunchako leaves his home after stealing their bicycle.",Drama,N/A,"['Oreste Biancoli', ""Suso D'Amico"", 'Vittorio De Sica', 'Adolfo Franci', 'Gherardo Gherardi', 'Gerardo Guerrieri', 'Cesare Zavattini']",Cesare Zavattini,"['Bicycle Thieves', 'by', 'Luigi Bartolini']",Produzioni De Sica,"$133,000","$428,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The Walls of Malapaga,René Clément,"['Jean Aurenche', 'Pierre Bost', '(adaptation and dialogue)', 'Cesare Zavattini', ""Suso Cecchi d'Amico"", 'Alfredo Guarini', '(screenplay)']",Alfredo Guarini,"['Jean Gabin', 'Isa Miranda']",Louis Page,Mario Serandrei,Roman Vlad,"['MGM', '(1949 Italian release)', 'Films International', '(1950 US release)']","['France', ':', '16 November 1949', 'United States', ':', '26 March 1950']","['France: 95 mins', 'Italy', ': 104 minutes', 'United States: 89 minutes']",,,France:,,,,,,,,,,,,,"2,018,745 admissions (France)","['Italia Produzione', 'Francinex']","['France', 'Italy']","['French', 'Italian']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rashomon,Akira Kurosawa,,Minoru Jingo,"['Toshiro Mifune', 'Machiko Kyō', 'Masayuki Mori', 'Takashi Shimura', 'Minoru Chiaki']",Kazuo Miyagawa,Akira Kurosawa,Fumio Hayasaka,Daiei Film,"['August 25, 1950']",88 minutes,Japan,Japanese,88,1950-08-25,7.0,N/A,,A looser adaptation of the same story that Kurosawa covered in his classic. Every player in the story has their own version of how a crime played out.,Drama,N/A,"['Akira Kurosawa', 'Shinobu Hashimoto']",,"['""', 'In a Grove', '""', 'by', 'Ryūnosuke Akutagawa']",Daiei Film,"$250,000","$96,568 (US)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Forbidden Games,René Clément,"['Jean Aurenche', 'Pierre Bost']",Robert Dorfmann,"['Georges Poujouly', 'Brigitte Fossey', 'Amédée']",Robert Juillard,Roger Dwyre,Narciso Yepes,"['Les Films Corona', 'Loew´s', '(USA)']","['9 May 1952 (France)', '8 December 1952 (USA)']",86 minutes,France,French,86,1952-05-09,4.4,N/A,,"When the head of a prominent modeling agency dies under suspicious circumstances, there are more than enough likely suspects - but no evidence. Michael Brandon, ex-Justice Department golden boy now on the skids, is hired to find the ","Crime, Drama, Thriller",N/A,,,"['Jeux interdits', 'by', 'François Boyer']",,,$36.8 million,"['Silver Films', 'Metro-Goldwyn-Mayer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jigokumon,Teinosuke Kinugasa,Teinosuke Kinugasa,Masaichi Nagata,"['Kazuo Hasegawa', 'Machiko Kyō']",Kōhei Sugiyama,Shigeo Nishida,Yasushi Akutagawa,Daiei Film,"['October 31, 1953']",86 minutes,Japan,Japanese,86,1953-10-31,7.2,N/A,100%,A samurai pursues a married lady-in-waiting.,"Drama, History",Won 2 Oscars. 7 wins & 1 nomination total,,,,Daiei Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Miyamoto Musashi,Hiroshi Inagaki,,Kazuo Takimura,"['Toshiro Mifune', 'Rentarō Mikuni', 'Kuroemon Onoe']",Jun Yasumoto,,Ikuma Dan,Toho,['26 September 1954 (Japan)'],93 minutes,Japan,Japanese,93,1954-09-26,7.5,N/A,85%,"Depicts the early life of the legendary warrior Musashi Miyamoto; his years as an aspiring warrior, an outlaw and finally a true samurai.","Action, Adventure, Biography",Won 1 Oscar. 1 win & 1 nomination total,"['Tokuhei Wakao', 'Hiroshi Inagaki']",,"['Miyamoto Musashi', 'by', 'Eiji Yoshikawa']",Toho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,La strada,Federico Fellini,,"['Dino De Laurentiis', 'Carlo Ponti']","['Giulietta Masina', 'Anthony Quinn', 'Richard Basehart']","['Otello Martelli', 'Carlo Carlini']",Leo Catozzo,Nino Rota,Paramount Pictures,"['6 September 1954 ( Venice )', '22 September 1954 (Italy)']",108 minutes,Italy,Italian,108,1954-09-06,8.0,N/A,98%,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Drama,Won 1 Oscar. 12 wins & 5 nominations total,"['Federico Fellini', 'Tullio Pinelli', 'Ennio Flaiano']","['Federico Fellini', 'Tullio Pinelli']",,Ponti-De Laurentiis Cinematografica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,The Captain from Köpenick Der Hauptmann von Köpenick,Helmut Käutner,"['Helmut Käutner', 'Carl Zuckmayer', '(play)', 'Carl Zuckmayer', '(screenplay)']",Gyula Trebitsch (producer),"['Heinz Rühmann', 'Hannelore Schroth', 'Martin Held', 'Erich Schellow']",Albert Benitz,Klaus Dudenhöfer,Bernhard Eichhorn,"['Real-Film', 'Distributors Corporation of America', '(US)']",['16 August 1956'],93 minutes,West Germany,German,93,1956-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gervaise,René Clément,,Agnès Delahaie,"['Maria Schell', 'François Périer', 'Jany Holt']",Robert Juillard,Henri Rust,Georges Auric,Les Films Corona,"['3 August 1956 (West Germany)', '5 September 1956 (France)']",120 minutes,France,French,120,1956-08-03,7.4,N/A,,A poor laundrywoman tries to cope with a depressing burden of society.,Drama,Nominated for 1 Oscar. 10 wins & 3 nominations total,"['Jean Aurenche', 'Pierre Bost']",,"[""L'Assommoir"", 'by', 'Émile Zola']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,The Burmese Harp,Kon Ichikawa,,Masayuki Takagi,"['Rentarō Mikuni', ',', 'Shôji Yasui', ',', 'Jun Hamamura']",Minoru Yokoyama,Masanori Tsujii,Akira Ifukube,Brandon Films (USA),"['Part I: 21 January 1956', 'Part II: 12 February 1956 (Japan)']","['143 minutes (Japan)', '116 minutes (International)']",Japan,Japanese,143,,,,,,,,Natto Wada,,The Burmese Harp by Michio Takeyama,Nikkatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Qivitoq - Fjeldgængeren,Erik Balling,Leck Fischer,,"['Poul Reichhardt', 'Astrid Villaume', 'Gunnar Lauring', 'Bjørn Watt Boolsen', 'Randi Michelsen', 'Kirsten Rolffes']",Poul Pedersen,Carsten Dahl,Svend Erik Tarp,Nordisk Film Kompagni,['1956'],118 minutes,Denmark,Danish,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nights of Cabiria (Le notti di Cabiria),Federico Fellini,,Dino De Laurentiis,"['Giulietta Masina', 'François Périer', 'Franca Marzi', 'Dorian Gray', 'Amedeo Nazzari']","['Aldo Tonti', 'Otello Martelli']",Leo Catozzo,Nino Rota,"['Paramount Pictures', '(Italy)', 'Les Films Marceau', 'Lopert Pictures Corporation', '(US)']","['10 May 1957 ( Cannes )', '27 May 1957 (Italy)', '16 October 1957 (France)']",118 minutes,,Italian,118,1957-05-10,,,,,,,"['Federico Fellini', 'Ennio Flaiano', 'Tullio Pinelli', 'Pier Paolo Pasolini']",Federico Fellini,,,,,,"['Italy', 'France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,The Devil Strikes at Night,Robert Siodmak,"['Will Berthold (book)', 'Werner Jörg Lüddecke']",Robert Siodmak,"['Mario Adorf', 'Claus Holm', 'Hannes Messemer', 'Werner Peters']",Georg Krause,Walter Boos,Siegfried Franz,Gloria Film,['1957'],97 minutes,West Germany,German,97,,,,,,,,,,,Divina-Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Porte des Lilas Gates of Paris,René Clair,"['Novel:', 'René Fallet', 'Screenplay:', 'René Clair', 'Jean Aurel']","['René Clair', 'André Daven']","['Pierre Brasseur', 'Georges Brassens', 'Henri Vidal', 'Dany Carrel']",Robert Lefebvre,Louisette Hautecoeur,Georges Brassens,"['Cinédis', '(France)', 'Lopert Pictures Corporation', '(U.S.)']","['20 September 1957 (Italy)', '25 September 1957 (France)']",95 minutes,,French,95,1957-09-20,,,,,,,,,,,,,,"['France', 'Italy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mother India,Mehboob Khan,"['Mehboob Khan', 'Wajahat Mirza', 'S. Ali Raza']",Mehboob Khan,"['Nargis', 'Sunil Dutt', 'Rajendra Kumar', 'Raaj Kumar']",Faredoon A. Irani,Shamsudin Kadri,Naushad,,['25 October 1957 (India)'],172 minutes,India,Hindi,172,1957-10-25,8.0,53,86%,"In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, always sticks to her own moral code.","Action, Comedy, Drama",Nominated for 1 Oscar. 8 wins & 3 nominations total,,,"['Aurat', 'by Mehboob Khan']",Mehboob Productions,est.,est.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ni Liv,Arne Skouen,Arne Skouen,Arne Skouen,"['Jack Fjeldstad', 'Henny Moan', 'Alf Malland', 'Joachim Holst-Jensen', 'Rolf Søder']",,,,Louis de Rochemont Associates,['11 November 1957'],96 minutes,Norway,Norwegian,96,1957-11-11,7.3,N/A,,"During World War II, nine members of the Norwegian Resistance trapped into a deadly Nazi ambush. Only one escapes on foot, and a fierce hunt through the ice desert has begun.","Action, Adventure, Biography",Nominated for 1 Oscar. 3 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mon Oncle,Jacques Tati,"['Jacques Lagrange', ""Jean L'Hôte"", 'Jacques Tati']",Jacques Tati,"['Jacques Tati', 'Jean-Pierre Zola', 'Adrienne Servantie', 'Alain Bécourt']",Jean Bourgoin,Suzanne Baron,"['Franck Barcellini', 'Alain Romans']","['Gaumont', '(France)', 'Continental Distributing', '(U.S.)']",['10 May 1958'],"['120 minutes (French);', '111 minutes (English)']",,French,120,1958-05-10,7.8,N/A,93%,"Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can't quite fit into the surroundings.",Comedy,Won 1 Oscar. 7 wins & 4 nominations total,,,,,"FRF 250,000 (est.)",,,"['France', 'Italy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Arms and the Man,Franz Peter Wirth,"['George Bernard Shaw (play)', 'Eberhard Keindorff', 'Johanna Sibelius']","['Peter Goldbaum', 'Harry R. Sokal']","['O. W. Fischer', 'Liselotte Pulver', 'Ellen Schwiers', 'Jan Hendriks']",Klaus von Rautenfeld,Claus von Boro,Franz Grothe,Bavaria Film,['20 November 1958'],100 minutes,West Germany,German,100,1958-11-20,7.0,N/A,,"First produced in 1894 on the London stage, a frightened Swiss soldier climbs into a young Bulgarian girl's room during wartime. This drama looks at love and war.","Comedy, Romance",N/A,,,,Bavaria Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Vengeance,Juan Antonio Bardem,Juan Antonio Bardem,"['Cesáreo González', 'Manuel J. Goyanes']","['Raf Vallone', 'Carmen Sevilla', 'Jorge Mistral', 'Manuel Alexandre', 'Fernando Rey']",Mario Pacheco,Margarita de Ochoa,Isidro B. Maiztegui,,"['1958 ( Cannes Film Festival )', '16 February 1959']",122 minutes,Spain,Spanish,122,,4.4,N/A,38%,"When ex-soldier turned mercenary, John Gold, learns of the murder of his best friend, he sets off on a mission to find out what happened. What he discovers is a sinister conspiracy and he sets about taking down those responsible one ",Action,3 wins & 2 nominations,,,,,,,,,,Francisco Rabal,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,The Road a Year Long,Giuseppe De Santis,Giuseppe De Santis,,Silvana Pampanini,Marco Scarpelli,Boris Tešija,Vladimir Kraus-Rajterić,,['12 July 1958'],162 minutes,,Italian,162,1958-07-12,,,,,,,,,,,,,,"['Italy', 'Yugoslavia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Big Deal on Madonna Street (I soliti ignoti),Mario Monicelli,"['Age ~ Scarpelli', ""Suso Cecchi d'Amico"", 'Mario Monicelli']",Franco Cristaldi,"['Vittorio Gassman', 'Renato Salvatori', 'Memmo Carotenuto', 'Rossana Rory', 'Carla Gravina', 'Claudia Cardinale', 'Marcello Mastroianni', 'Totò']",Gianni di Venanzo a.i.c.,Adriana Novelli,Piero Umiliani,Lux Film,['30 June 1958'],111 minutes,Italy,Italian,111,1958-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Black Orpheus,Marcel Camus,,Sacha Gordine,"['Breno Mello', 'Marpessa Dawn']",Jean Bourgoin,Andrée Feix,"['Luiz Bonfá', 'Antônio Carlos Jobim']",Lopert Pictures,['12 June 1959 (France)'],107 minutes,,Brazilian Portuguese,107,1959-06-12,N/A,N/A,,N/A,"Documentary, Short",N/A,"['Marcel Camus', 'Jacques Viot']",,"['Orfeu da Conceição', 'by', 'Vinicius de Moraes']",,,,"['Dispat Films (France)', 'Gemma (Italy)', 'Tupan Filmes (Brazil)']","['France', 'Brazil', 'Italy']",,,Orfeu Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Die Brücke,Bernhard Wicki,"['Manfred Gregor', '(novel)', 'Karl-Wilhelm Vivier', 'Michael Mansfeld', 'Bernhard Wicki']","['Hermann Schwerin', 'Jochen Schwerin']","['Folker Bohnet', 'Fritz Wepper', 'Michael Hinz', 'Frank Glaubrecht', 'Karl Michael Balzer', 'Volker Lechtenbrink', 'Günther Hoffmann']",Gerd von Bonin,Carl Otto Bartning,Hans-Martin Majewski,Deutsche Film Hansa,['22 October 1959'],105 minutes,West Germany,,105,1959-10-22,8.0,N/A,100%,"In 1945, Germany is being overrun, and nobody is left to fight but teenagers.","Drama, War",Nominated for 1 Oscar. 15 wins & 2 nominations total,,,,,,,,,"['German', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,The Great War (La Grande Guerra),Mario Monicelli,"['Agenore Incrocci', ',', 'Mario Monicelli,', 'Furio Scarpelli', ',', 'Luciano Vincenzoni']",Dino De Laurentiis,"['Alberto Sordi', 'Vittorio Gassman', 'Folco Lulli', 'Bernard Blier', 'Romolo Valli', 'Silvana Mangano']","['Giuseppe Rotunno', 'Leonida Barboni', 'Roberto Gerardi', 'Giuseppe Serrandi']",Adriana Novelli,Nino Rota,,['September 1959 (premiere at VFF )'],135 minutes,,Italian,135,1959-09-01,,,,,,,,,,,,,,"['Italy', 'France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Paw,Astrid Henning-Jensen,,Mogens Skot-Hansen,Jimmy Sterman,Henning Bendtsen,Anker Sørensen,Herman D. Koppel,"['United States', ':', 'G. G. Communications']","['Denmark', ':', '18 December 1959', 'United States', ':', 'April 1970']","['Denmark', ':', '100 minutes', 'United States', ':', '88 minutes']",Denmark,Danish,Denmark,,6.5,N/A,,Young boy whose father was from Denmark and mother from a tropical island must live with his paternal aunt in Denmark. His skin color becomes an issue right away and he decides to escape and live in the forest.,"Family, Drama",Nominated for 1 Oscar. 2 wins & 2 nominations total,"['Astrid Henning-Jensen', 'Bjarne Henning-Jensen']",,"['Paw, der Indianerjunge', 'by', 'Torry Gredsted']",Laterna Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Dorp aan de Rivier,Fons Rademakers,"Hugo Claus (writer & dialogue), Antoon Coolen (novel)",,,,,,,['19 August 1958'],92 minutes,Netherlands,Dutch,92,1958-08-19,6.8,N/A,,An independent-thinking doctor in a rural community with his own ideas of how medicine should be practiced begins to find himself ostracized from the community after one of his patients commits suicide.,Drama,Nominated for 1 Oscar. 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,The Virgin Spring,Ingmar Bergman,Ulla Isaksson,"['Ingmar Bergman', 'Allan Ekelund']","['Max von Sydow', 'Birgitta Valberg', 'Gunnel Lindblom', 'Birgitta Pettersson']",Sven Nykvist,Oscar Rosander,Erik Nordgren,Janus Films,['8 February 1960'],89 minutes,Sweden,Swedish,89,1960-02-08,,,,,,,,,,,,"$700,000 (USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Kapò,Gillo Pontecorvo,"['Gillo Pontecorvo', 'Franco Solinas']","['Franco Cristaldi', 'Moris Ergas']","['Susan Strasberg', 'Laurent Terzieff', 'Emmanuelle Riva', 'Didi Perego']",Aleksandar Sekulović,,Carlo Rustichelli,Cineriz,['29 September 1960 (Italy)'],116 minutes,,Italian,116,1960-09-29,7.6,N/A,60%,A young Jewish girl leads an escape attempt from a concentration camp.,"Drama, War",Nominated for 1 Oscar. 3 wins & 4 nominations total,,,,,,,,"['Italy', 'France', 'Yugoslavia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,La Vérité,Henri-Georges Clouzot,"['Henri-Georges Clouzot', 'Véra Clouzot', 'Simone Drieu', 'Jérôme Géronimi', 'Michèle Perrein', 'Christiane Rochefort']",Raoul Lévy,"['Brigitte Bardot', 'Charles Vanel', 'Paul Meurisse']",Armand Thirard,Albert Jurgenson,,Kingsley-International Pictures (US),['2 November 1960'],130 minutes,France,French,130,1960-11-02,6.5,75,88%,"A stormy reunion between scriptwriter Lumir with her famous mother and actress, Fabienne, against the backdrop of Fabienne's autobiographic book and her latest role in a Sci-Fi picture as a daughter of a mother who never grows old.",Drama,1 win & 7 nominations,,,,,,"5,694,993 admissions (France)","['C. E. I. A. P.', 'Han Productions', 'Ina Production']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Macario,Roberto Gavaldón,,Armando Orive Alba,"['Ignacio López Tarso', 'Pina Pellicer']",Gabriel Figueroa,Gloria Schoemann,Raúl Lavista,,"['May 1960 ( Cannes )', '9 June 1960 (Mexico)']",90 minutes,Mexico,Spanish,90,1960-05-01,8.4,N/A,100%,"Poor, hungry peasant Macario longs for just one good meal on the Day of the Dead. After his wife cooks a turkey for him, he meets three apparitions, the Devil, God, and Death. Each asks him to share his turkey, but he refuses all exc","Drama, Fantasy, Mystery",Nominated for 1 Oscar. 2 wins & 2 nominations total,"['Emilio Carballido', 'Roberto Gavaldón']",,"['Macario', 'by', 'B. Traven']",,,,"['Clasa Films Mundiales', 'Estudios Churubusco']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Deveti krug Девети круг,France Štiglic,"['Vladimir Koch', 'France Štiglic', 'Zora Dirnbach', '(story)']",,"['Boris Dvornik', 'Dušica Žegarac', 'Beba Lončar']",Ivan Marinček,Lida Braniš,Branimir Sakač,,['21 April 1960'],107 minutes,FPR Yugoslavia,Serbo-Croatian,107,1960-04-21,7.7,N/A,,"In order to save Jewish girl from the Nazis and their colaborators, Croatian family arranges her to be wed to their young son. Young man is displeased with sudden end to his careless youth and he doesn't seem to like the girl or the ","Drama, Romance, War",Nominated for 1 Oscar. 3 wins & 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Through a Glass Darkly,Ingmar Bergman,Ingmar Bergman,Allan Ekelund,"['Harriet Andersson', 'Gunnar Björnstrand', 'Max von Sydow', 'Lars Passgård']",Sven Nykvist,Ulla Ryghe,"['Erik Nordgren', 'Johann Sebastian Bach']",Janus Films,['16 October 1961'],91 minutes,Sweden,Swedish,91,1961-10-16,N/A,N/A,,"While on vacation at the beach with her older sister, Julia, a curious teen, sells her soul to the devil for the magic of the boardwalk.","Short, Drama",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Harry og kammertjeneren,Bent Christensen,"['Bent Christensen', 'Leif Panduro']","['Bent Christensen', 'Preben Philipsen']","['Osvald Helmuth', 'Ebbe Rode', 'Gunnar Lauring']",Kjeld Arnholtz,"['Kirsten Christensen', 'Lene Møller']",Niels Rothenborg,,['8 September 1961'],105 minutes,Denmark,Danish,105,1961-09-08,7.5,N/A,,"Set in the late fifties in Denmark the poor junk yard assistant Harry inherits some money. He decides to use the money to hire a butler. The butler isn't too keen on the job at first, but he takes it because there aren't that many bu","Comedy, Family",Nominated for 1 Oscar. 2 wins & 3 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Immortal Love,Keisuke Kinoshita,Keisuke Kinoshita,"['Keisuke Kinoshita', 'Sennosuke Tsukimori']","['Hideko Takamine', 'Keiji Sada', 'Tatsuya Nakadai']",Hiroshi Kusuda,Yoshi Sugihara,Chūji Kinoshita,Shochiku,"['September 16, 1961']",107 minutes,Japan,Japanese,107,1961-09-16,6.7,N/A,,N/A,Romance,N/A,,,,Shochiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,The Important Man,Ismael Rodríguez,"['Ismael Rodríguez', 'Rodrigo Garibay', 'Vicente Oroná Jr.']",Ismael Rodríguez,"['Toshiro Mifune', 'Columba Domínguez', 'Flor Silvestre', 'Antonio Aguilar']",Gabriel Figueroa,Jorge Bustos,Raúl Lavista,,"['January 10, 1962 (Mexico)']",100 minutes,Mexico,Spanish,100,1962-01-10,,,,,,,,,"['La mayordomía', 'by', 'Rogelio Barriga Rivas']",Películas Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Plácido,Luis García Berlanga,"['Luis García Berlanga', 'Rafael Azcona', 'José Luis Colina', 'José Luis Font']",Alfredo Matas,"['Amelia de la Torre', 'Mari Carmen Yepes', 'José María Caffarel', 'Manuel Alexandre', 'Elvira Quintillá', 'José Luis López Vázquez', 'Cassen', 'Amparo Soler Leal', 'Xan Das Bolas', 'Félix Dafauce']",Francisco Sempere,José Antonio Rojo,Miguel Asins Arbó,,['3 November 1960'],85 minutes,Spain,Spanish,85,1960-11-03,7.9,N/A,100%,"In a small Spanish town, a group of old ladies decides to celebrate Christmas Eve with a ""seat a poor man at your table"" dinner: each wealthy household of the town will have a homeless person dining with them that night. The celebrat","Comedy, Drama",Nominated for 1 Oscar. 7 wins & 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sundays and Cybele,Serge Bourguignon,,Romain Pinès,"['Hardy Krüger', 'Nicole Courcel', 'Patricia Gozzi']",,,Maurice Jarre,"['Davis-Royal', 'Columbia Pictures']",['12 November 1962'],110 minutes,France,French,110,1962-11-12,N/A,N/A,,"Actor Hardy Krüger talks about the incredible stories behind the making of his 1962 Oscar-winning film, 'Sundays and Cybèle'","Documentary, Short",N/A,"['Serge Bourguignon', 'Antoine Tudal', 'Bernard Eschassériaux']",,"[""Les dimanches de Ville d'Avray"", 'by Bernard Eschassériaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Electra,Michael Cacoyannis,Michael Cacoyannis,Michael Cacoyannis,"['Irene Papas', 'Giannis Fertis', 'Aleka Katselli', 'Manos Katrakis', 'Notis Peryalis', 'Fivos Razi', 'Takis Emmanuel', 'Theano Ioannidou', 'Malaina Anousaki', 'Theodoros Dimitriou', 'Theodore Demetriou', 'Elsie Pittas', 'Petros Ampelas', 'Kitty Arseni', 'Thodoros Exarhos', 'Elli Fotiou', 'Afroditi Grigoriadou', 'Kostas Kazakos']",Walter Lassally,Leonidas Antonakis,Mikis Theodorakis,"Lopert Pictures Corporation ( USA ), United Artists (internationally [Finland, Denmark, Sweden, Argentina, Mexico])",['1962'],110 minutes,Greece,Greek,110,,3.6,N/A,,"The discovery of a miraculous serum capable of giving youth, health and superhuman powers arouses the interest of Marcus, a megalomaniac billionaire bound to a wheelchair. He sends his assassins to seize it. But the discovery is no l","Action, Sci-Fi, Thriller",N/A,,,,Finos Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,The Four Days of Naples,Nanni Loy,"['Carlo Bernari', 'Pasquale Festa Campanile', 'Massimo Franciosa', 'Nanni Loy', 'Vasco Pratolini']",Goffredo Lombardo,"['Regina Bianchi', 'Aldo Giuffrè']",Marcello Gatti,Ruggero Mastroianni,Carlo Rustichelli,Metro Goldwyn Mayer in United States/ Titanus in Italy,['16 November 1962'],124 minutes,Italy,Italian,124,1962-11-16,,,,,,,,,,,"$800,000",$2 million (Italy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,O Pagador de Promessas,Anselmo Duarte,Anselmo Duarte,Oswaldo Massaini,"['Leonardo Villar', 'Glória Menezes', 'Norma Bengell', 'Dionísio Azevedo']",H. E. Fowle,Carlos Coimbra,Gabriel Migliori,"['Cinedistri', 'Embrafilme']","['August 6, 1962']",91 minutes,Brazil,Portuguese,91,1962-08-06,8.3,N/A,,"A simple yet devout Christian makes a vow to Saint Barbara after she saves his donkey, but everyone he meets seems determined to misunderstand his intentions. Will he be able to keep his promise in the end?",Drama,Nominated for 1 Oscar. 4 wins & 1 nomination total,,,"['O Pagador de Promessas', 'by', 'Dias Gomes']",Cinedistri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tlayucan,Luis Alcoriza,"['Jesús Murciélago Velázquez', 'Luis Alcoriza']",Antonio Matouk,"['Julio Aldama', 'Norma Angélica Ladrón de Guevara']",Rosalío Solano,,,,['27 December 1962'],105 minutes,Mexico,Spanish,105,1962-12-27,7.3,N/A,,"A man becomes a thief out of desperation. If his identity becomes known, his neighbors might lynch him. The only friendly face in town is the local priest.","Comedy, Drama",Nominated for 1 Oscar. 7 wins & 3 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
